status	SEER_Draw	Stage	coef_a_weibull	sd_a	coef_b_weibull	sd_b	coef_lts_fraction	sd_lts	lb_lts	ub_lts	coef_recur_month	sd_recur	lb_recur	ub_recur
65-74	Breast_HR_positive	IV	0.7829871192361144	0.01220937520264139	-3.057089539253872	0.05069976841888093	0.006441132734301025	0.007878628116047455	5.473465348775211e-4	0.03148069136689092	4.173051633523004e-4	6.291246395102084e-4	2.106162506882946e-5	0.00251179112322637
75-84	Breast_HR_positive	I	1.5554972292021423	0.048968883978690696	-8.547282246566066	0.19061422080197282	0.7391461237193391	0.047643016195054635	0.6401281464634667	0.8185139836580632	7.272673121030551e-6	1.815137323422012e-5	7.62993894741015e-8	6.468746055819216e-5
75-84	Breast_HR_positive	II	1.321627377204551	0.0381757417385896	-6.47972798331549	0.12049207734090954	0.6553099630969323	0.034535943415887935	0.5730913040074204	0.7113525455845602	2.5383524996362936e-5	6.177084395811627e-5	3.866190699120491e-7	2.1888343969561232e-4
75-84	Breast_HR_positive	III	1.2600603119405696	0.03032887917137009	-5.451982441205168	0.12038024833663344	0.40097517640684444	0.027596154978470074	0.35046550477338156	0.46633338941874	1.2239317576768515e-4	2.684076814623665e-4	2.339933487498273e-6	0.001006306214182189
75-84	Breast_HR_positive	IV	0.7139299020449676	0.015315297470833118	-2.542849600866198	0.059134182939687405	0.010644540542313962	0.011345936174053547	4.732888466320418e-4	0.04168715582333776	9.234750959225189e-4	9.564598919958207e-4	1.757384968063198e-5	0.0031719313269737877
40-54	Breast_HR_unknown	I	1.5007014959564529	0.18098219000062193	-8.00327533304332	0.7497986543788444	0.9094006447379861	0.04199099476377389	0.8227985163910694	0.9794050915951952	4.183806065621284e-5	7.702921956342496e-5	3.339892466819244e-7	2.7428275339111483e-4
40-54	Breast_HR_unknown	II	1.243885728651041	0.0927164010349809	-5.426117336598175	0.3648064600129362	0.8360597499233847	0.03089095321087644	0.7759345327572872	0.8936866306990692	1.0358617712517268e-4	1.335070305900456e-4	1.3646353235231338e-6	4.678438706097936e-4
40-54	Breast_HR_unknown	III	1.3053329997742176	0.08505188946506714	-5.504928738882725	0.3675584357175027	0.5295386607712097	0.0478880659564713	0.4493200636057916	0.6371366316914873	3.033199913774992e-4	3.80525260829722e-4	8.831429239591937e-6	0.0014560859119609794
40-54	Breast_HR_unknown	IV	0.638472607105993	0.031695050227926166	-1.882672818624917	0.10407024406741056	0.0697240457696531	0.027675717371308247	0.019811564770457445	0.12927625090683348	0.0013611287147041007	9.304010996441066e-4	7.361518061931847e-5	0.003179885737751342
55-64	Breast_HR_unknown	I	1.4382131990621572	0.19918544058133134	-7.705887845303303	0.833842674952692	0.8967706622591707	0.044620768453070926	0.8089392199329389	0.9771516038445816	6.373916229013047e-5	8.808398903277002e-5	6.854793340496728e-7	3.201578743530865e-4
55-64	Breast_HR_unknown	II	1.5199698323398412	0.1177233890179988	-6.669979643182916	0.49952613045144056	0.8229225843106751	0.025586416318770504	0.7743030042685501	0.8762186796107486	1.2664196865335824e-4	1.3068804878366887e-4	3.503392449086534e-6	4.679297993090333e-4
55-64	Breast_HR_unknown	III	1.23467545759023	0.09575725648980064	-5.033585287108473	0.4320353058405058	0.6137602044053834	0.07292755829180944	0.49773044925847415	0.7721081777295026	7.07838402248549e-4	6.375694733558176e-4	1.9143827450934922e-5	0.002282958491898744
55-64	Breast_HR_unknown	IV	0.5819377478301808	0.025493498028538928	-1.4417770132559913	0.0771410457257406	0.04522820806571955	0.018898113106742616	0.014087892114844975	0.08713512514487083	0.0018605537029794306	9.222650446053968e-4	1.3044524457099353e-4	0.003267575346377826
65-74	Breast_HR_unknown	I	1.536048963987361	0.12988252428345512	-8.447137186007843	0.5190171141564247	0.8368012547983181	0.055380243566154334	0.7327968086257726	0.9435596257765849	5.0805260112313665e-5	8.91190546957724e-5	6.399805942906634e-7	3.228650375085348e-4
65-74	Breast_HR_unknown	II	1.283588009659474	0.10025979505994526	-5.5484453336340644	0.40181641347388153	0.7533868402093433	0.03482220141000193	0.6821226423387117	0.8245146555563535	1.3256428291512942e-4	1.6927554349043084e-4	3.035469651627804e-6	6.354783385209876e-4
65-74	Breast_HR_unknown	III	0.9944909348395531	0.08260031366338672	-3.8785990927623293	0.3896311517877481	0.5690612332481605	0.06917868785896959	0.45383267504599784	0.7216490723136472	5.489359019292725e-4	5.858839323491381e-4	2.1007609234015034e-5	0.0021614647316870617
65-74	Breast_HR_unknown	IV	0.5270697121197658	0.018893571876918445	-1.255832960924788	0.06750681618215927	0.03731235363394336	0.019478863081169164	0.005536833223697964	0.0821389844263849	0.0018301283256405665	9.545899441092364e-4	1.2271265798847184e-4	0.00326852792996254
75-84	Breast_HR_unknown	I	1.2803200694412111	0.1951928158714364	-7.038660813647425	0.8477050280870437	0.7137280123946655	0.19546890175565929	0.23018203134883214	0.9749498427890504	3.309518804464178e-4	3.702045934797214e-4	2.2080023080838166e-6	0.0011783869243852533
75-84	Breast_HR_unknown	II	0.8319560576208235	0.09714460832555324	-4.172129631291057	0.5203433399327925	0.596184499771585	0.2139707418107159	0.11216964268472829	0.8718599123483852	5.874078167952785e-4	5.05811957940255e-4	6.893199618507011e-6	0.0017282603570721283
75-84	Breast_HR_unknown	III	0.7178780807129117	0.07434574118028503	-2.7400826663250384	0.23924783083702422	0.25173173638670093	0.12174927627568263	0.035545989540346046	0.4647272607350911	0.0011632429969013563	7.822238485972553e-4	3.4638437396573506e-5	0.002777767674327186
75-84	Breast_HR_unknown	IV	0.5496964255982688	0.025010413863896883	-1.1359825236268348	0.07205419020679847	0.0468170244463466	0.019472191372992144	0.011959602153368424	0.08840657885705483	0.002188087952902904	8.732685839907136e-4	2.016329932380182e-4	0.0032858729904768277
40-54	Cervix	I	1.7853636056046198	0.08862820976127882	-6.389092930837944	0.35662624254955083	0.9517562506885351	0.0054175917186240225	0.9406767258690887	0.9615265197153404	4.638992300064253e-4	4.9042843939503204e-5	3.6928855481558026e-4	5.600470424842188e-4
40-54	Cervix	II	1.6900243797436014	0.056569369566327916	-5.727661837105906	0.23610175056809163	0.7654132230743049	0.01674704377385254	0.7322457245014898	0.7979697757966469	0.0011496993535043787	1.687757588536722e-4	8.30083946324604e-4	0.0014956450012906584
40-54	Cervix	III	1.5998850382027725	0.03702833041860627	-5.178882642068816	0.13248154771047696	0.5784882103360844	0.014419138444676835	0.5510332427929707	0.6068740825664959	0.0016182605243448649	1.9212150342232522e-4	0.0012853538545017267	0.0020145079711551338
40-54	Cervix	IV	1.1982959101294801	0.028435548237781497	-3.0587173421610547	0.08455914765811237	0.23485342286093047	0.013207091293339666	0.20944048544275667	0.2615332508996308	0.003176306711154127	1.7951102256957025e-4	0.0026668544170609524	0.0033281543720753053
55-64	Cervix	I	1.4175540172169132	0.122686218031811	-5.0303585907164265	0.5103358648736804	0.9464442002323579	0.015699865827864274	0.9115155922289758	0.9689546563992865	8.193047932151902e-4	1.3591067312982422e-4	5.484096898556612e-4	0.0010610806036030122
55-64	Cervix	II	1.418220440665591	0.07196808516954968	-4.807054485345349	0.3201154975135388	0.8170059673706338	0.021695059659426495	0.7734895718361561	0.8587491492316145	0.001423805446700087	2.3876576964012e-4	0.0010046560372649284	0.001914107941724902
55-64	Cervix	III	1.3526215686566978	0.04510848471721207	-4.38629017812177	0.1715645283513545	0.5640994378122853	0.024394427756261022	0.516271925656052	0.6100785832447678	0.0024442187905481796	3.4468514569700113e-4	0.0017581879785125165	0.0030850980760608816
55-64	Cervix	IV	0.9960280004028264	0.029975054377926882	-2.4884579977920405	0.08614832413947031	0.19927951901777646	0.015760973602376917	0.1697109919180882	0.2307424667969481	0.003147304238380613	2.237427415957775e-4	0.002485166684552687	0.0033254026026033282
